	Stock	Correlated_Stock	Correlation_Value
342	ALARK.IS	DOAS.IS	0.9802364070884743
343	ASELS.IS	AGHOL.IS	0.9802220453906819
344	BIMAS.IS	YKBNK.IS	0.9801374412650308
345	OTKAR.IS	EGPRO.IS	0.9801090784814487
346	PAPIL.IS	SELGD.IS	0.9800946834768571
347	KCHOL.IS	CLEBI.IS	0.9800800519970784
348	BRSAN.IS	OTTO.IS	0.9800784433720152
349	BIMAS.IS	AKSGY.IS	0.9800592675168038
350	PRKME.IS	PETUN.IS	0.9800581048131651
351	ARCLK.IS	GSDHO.IS	0.9800566170872993
352	AKSGY.IS	NATEN.IS	0.9800221801685102
353	ALARK.IS	PGSUS.IS	0.9800131696787377
354	TUPRS.IS	ENJSA.IS	0.9800115671967312
355	ISCTR.IS	RYGYO.IS	0.9799888112403977
356	BIMAS.IS	DNISI.IS	0.9799774392947341
357	OZKGY.IS	MEDTR.IS	0.9799403763550778
358	BRYAT.IS	NATEN.IS	0.9799259225974499
359	SAYAS.IS	USAK.IS	0.979924676479571
360	OBASE.IS	VBTYZ.IS	0.9799194481549043
361	MAVI.IS	AKSGY.IS	0.9799137825917802
362	ENJSA.IS	BRISA.IS	0.9798835008166024
363	ISMEN.IS	MGROS.IS	0.9798215294118319
364	OTKAR.IS	MAALT.IS	0.9798124198100108
365	FROTO.IS	INDES.IS	0.9797951376920496
366	ENJSA.IS	MAVI.IS	0.9797768868662842
367	TTRAK.IS	HTTBT.IS	0.9797453760796276
368	AGESA.IS	BRISA.IS	0.9797451328389233
369	BUCIM.IS	PNSUT.IS	0.979738146372646
370	RYSAS.IS	RYGYO.IS	0.9797381267576013
371	TRGYO.IS	ACSEL.IS	0.9797160231244303
372	FROTO.IS	BRISA.IS	0.979698492559413
373	OTKAR.IS	TTRAK.IS	0.9796916990594497
374	THYAO.IS	MGROS.IS	0.9796816712150176
375	MAVI.IS	HTTBT.IS	0.979559196660082
376	ECILC.IS	ECZYT.IS	0.979551876027807
377	ARCLK.IS	ALGYO.IS	0.9795444271168898
378	MGROS.IS	AYGAZ.IS	0.979538318705666
379	AHGAZ.IS	PASEU.IS	0.9795109920982125
380	YKBNK.IS	AYGAZ.IS	0.9794704498065172
381	THYAO.IS	MAVI.IS	0.9794565301192828
382	OTKAR.IS	DNISI.IS	0.9794549413238464
383	TUPRS.IS	HTTBT.IS	0.9794302727687206
384	ALARK.IS	KAREL.IS	0.9794218352630006
385	ECILC.IS	ALGYO.IS	0.9794038947951438
386	SAHOL.IS	OTKAR.IS	0.979399321252453
387	THYAO.IS	TRGYO.IS	0.9793924922910268
388	ECZYT.IS	NUHCM.IS	0.9793808768981982
389	BIMAS.IS	SOKM.IS	0.9793760816570265
390	ALARK.IS	DOHOL.IS	0.9793461005499974
391	AFYON.IS	BUCIM.IS	0.9793417636893841
392	DNISI.IS	OZRDN.IS	0.9793286417738075
393	FROTO.IS	ARCLK.IS	0.9793243761046811
394	ASELS.IS	VERUS.IS	0.9793171789068847
395	BRKSN.IS	EGPRO.IS	0.9793070888992491
396	BRISA.IS	NTHOL.IS	0.9792993529472659
397	KOZAA.IS	GSDHO.IS	0.9792893238315108
398	ALARK.IS	OZKGY.IS	0.9792521794340918
399	TSKB.IS	AGHOL.IS	0.979247570656926
400	ASELS.IS	CCOLA.IS	0.9792397961567328
401	TTRAK.IS	RYGYO.IS	0.9792361115148599
402	BIMAS.IS	KONYA.IS	0.9792107594065227
403	ACSEL.IS	NTHOL.IS	0.9792100711584226
404	DOHOL.IS	PRKME.IS	0.9791964772781709
405	ASELS.IS	YKBNK.IS	0.9791794337236743
406	TUPRS.IS	TTRAK.IS	0.9791683526963507
407	ISCTR.IS	TTRAK.IS	0.9790534309560643
408	DNISI.IS	NATEN.IS	0.9789773379153138
409	VESBE.IS	ALGYO.IS	0.978953996325218
410	TRGYO.IS	VERUS.IS	0.9789485210551465
411	DOHOL.IS	ECZYT.IS	0.9789318949046809
412	MAVI.IS	TTRAK.IS	0.9789133470270784
413	AGROT.IS	BINHO.IS	0.9789130624062339
414	FROTO.IS	TCELL.IS	0.9789045522343707
415	AHGAZ.IS	CWENE.IS	0.9788698379172589
416	AEFES.IS	AKSGY.IS	0.9788615775855577
417	ALARK.IS	KNFRT.IS	0.9788615347267755
418	DOAS.IS	TSKB.IS	0.9788513242819408
419	ALARK.IS	GWIND.IS	0.9788464736394038
420	BUCIM.IS	GSDHO.IS	0.978823027083189
421	ASELS.IS	TTKOM.IS	0.9788157149080842
422	OYAKC.IS	ECILC.IS	0.9787959208098418
423	ISMEN.IS	SAYAS.IS	0.9787844182368152
424	PRKME.IS	GSDHO.IS	0.9787718782383189
425	BIMAS.IS	ENJSA.IS	0.9787418232377189
426	INDES.IS	PETUN.IS	0.978690402800754
427	ESCOM.IS	ACSEL.IS	0.9786480090498775
428	ALKA.IS	KONKA.IS	0.9786364199831767
429	KONYA.IS	EGPRO.IS	0.9786238775844537
430	THYAO.IS	KLSYN.IS	0.9786123335920272
431	KCHOL.IS	EGPRO.IS	0.9785685594278817
432	AGESA.IS	AKGRT.IS	0.97853811425772
433	GARAN.IS	MGROS.IS	0.9785265383887453
434	DOAS.IS	MAVI.IS	0.9784700571055864
435	CCOLA.IS	BRISA.IS	0.978451418613508
436	VBTYZ.IS	NATEN.IS	0.9784263516500731
437	TUPRS.IS	CCOLA.IS	0.9784165543302379
438	AEFES.IS	AYGAZ.IS	0.9784069481013855
439	FROTO.IS	ECILC.IS	0.9783753693725467
440	DOHOL.IS	KNFRT.IS	0.9783635086494489
441	ALARK.IS	PETUN.IS	0.9783599905391904
442	ESCOM.IS	BRISA.IS	0.978344193027066
443	IPEKE.IS	ALGYO.IS	0.9783307574446453
444	GARAN.IS	OTKAR.IS	0.9783245604190934
445	BRYAT.IS	MAALT.IS	0.9783125196649425
446	MAVI.IS	RYGYO.IS	0.9783083822965135
447	ISMEN.IS	YEOTK.IS	0.9783064158989192
448	DOAS.IS	MGROS.IS	0.9782996155789837
449	PETKM.IS	OZKGY.IS	0.9782432926257686
450	PGSUS.IS	KAREL.IS	0.9782431485093159
451	ENJSA.IS	AGESA.IS	0.9782309651792328
452	ACSEL.IS	VERUS.IS	0.9781969982738516
453	PGSUS.IS	TEZOL.IS	0.9781915389865106
454	TTRAK.IS	EGPRO.IS	0.9781886184393013
455	KAREL.IS	DGNMO.IS	0.9781784865239275
456	BOBET.IS	OTTO.IS	0.9781525380063535
457	AKBNK.IS	AGHOL.IS	0.9781247906346175
458	KONYA.IS	GOLTS.IS	0.9781195903871448
459	ACSEL.IS	TKNSA.IS	0.9780482153842364
460	BIMAS.IS	RYGYO.IS	0.9780394687652487
461	BFREN.IS	TMPOL.IS	0.9780353017155958
462	OTKAR.IS	AYGAZ.IS	0.9780225344451691
463	BFREN.IS	BRYAT.IS	0.978021451864137
464	AKBNK.IS	TUPRS.IS	0.9780136907415374
465	BIMAS.IS	SAHOL.IS	0.9780036277087806
466	ZOREN.IS	DGNMO.IS	0.9779990186118134
467	AEFES.IS	EGPRO.IS	0.9779895585431794
468	VESBE.IS	GEDZA.IS	0.9779758473787168
469	SAHOL.IS	TSKB.IS	0.9779616734357889
470	GSDDE.IS	GSDHO.IS	0.9779485922408632
471	ENJSA.IS	INDES.IS	0.9779462178478934
472	KONYA.IS	VBTYZ.IS	0.977942696650054
473	ALARK.IS	GSDHO.IS	0.9779145880037512
474	ASELS.IS	AKSGY.IS	0.9778594763440268
475	TUPRS.IS	KONYA.IS	0.9778458546405803
476	ECILC.IS	RYGYO.IS	0.9778229386694197
477	BUCIM.IS	OZKGY.IS	0.9777655230037828
478	MGROS.IS	NATEN.IS	0.9777543626325189
479	BRYAT.IS	BRISA.IS	0.9777431626525342
480	ISCTR.IS	ENJSA.IS	0.9777312875503452
481	KONKA.IS	OZKGY.IS	0.9777133415425867
482	AFYON.IS	DGNMO.IS	0.9777125293063993
483	KAREL.IS	OZKGY.IS	0.9777114563811673
484	KCHOL.IS	GOLTS.IS	0.977704173218418
485	ALMAD.IS	PNSUT.IS	0.9776899734759132
486	ARCLK.IS	KORDS.IS	0.977681752398465
487	VBTYZ.IS	TMPOL.IS	0.9776571362722286
488	AKSEN.IS	ALKA.IS	0.9776494414209645
489	SISE.IS	BUCIM.IS	0.9776053635240304
490	ENJSA.IS	SOKM.IS	0.9775746801230064
491	ISCTR.IS	THYAO.IS	0.9775502436697419
492	ENJSA.IS	TEZOL.IS	0.9775442122462863
493	ALMAD.IS	OZKGY.IS	0.9775379091976949
